concept_id,concept_name,domain_id,vocabulary
1634348,AJCC/UICC 7th clinical Stage 3B,Measurement,Cancer Modifier
1635761,AJCC/UICC 7th clinical Stage 3C,Measurement,Cancer Modifier
1634333,AJCC/UICC 7th clinical Stage 3C1,Measurement,Cancer Modifier
1635014,AJCC/UICC 7th clinical Stage 3C2,Measurement,Cancer Modifier
1634694,AJCC/UICC 7th clinical Stage 3D,Measurement,Cancer Modifier
1634766,AJCC/UICC 7th clinical Stage 4,Measurement,Cancer Modifier
1634451,AJCC/UICC 7th clinical Stage 4A,Measurement,Cancer Modifier
1634875,AJCC/UICC 7th clinical Stage 4A1,Measurement,Cancer Modifier
1633272,AJCC/UICC 7th clinical Stage 4A2,Measurement,Cancer Modifier
1635757,AJCC/UICC 7th clinical Stage 4B,Measurement,Cancer Modifier
1634614,AJCC/UICC 7th clinical Stage 4C,Measurement,Cancer Modifier
1634947,AJCC/UICC 7th pathological Stage 3,Measurement,Cancer Modifier
1634842,AJCC/UICC 7th pathological Stage 3A,Measurement,Cancer Modifier
1635016,AJCC/UICC 7th pathological Stage 3A1,Measurement,Cancer Modifier
1635510,AJCC/UICC 7th pathological Stage 3A2,Measurement,Cancer Modifier
1635602,AJCC/UICC 7th pathological Stage 3B,Measurement,Cancer Modifier
1634299,AJCC/UICC 7th pathological Stage 3C,Measurement,Cancer Modifier
1635770,AJCC/UICC 7th pathological Stage 3C1,Measurement,Cancer Modifier
1635054,AJCC/UICC 7th pathological Stage 3C2,Measurement,Cancer Modifier
1633536,AJCC/UICC 7th pathological Stage 3D,Measurement,Cancer Modifier
1635230,AJCC/UICC 7th pathological Stage 4,Measurement,Cancer Modifier
1635745,AJCC/UICC 7th pathological Stage 4A,Measurement,Cancer Modifier
1634537,AJCC/UICC 7th pathological Stage 4A1,Measurement,Cancer Modifier
1633372,AJCC/UICC 7th pathological Stage 4A2,Measurement,Cancer Modifier
1634472,AJCC/UICC 7th pathological Stage 4B,Measurement,Cancer Modifier
1634492,AJCC/UICC 7th pathological Stage 4C,Measurement,Cancer Modifier
1633559,AJCC/UICC 7th post therapy clinical Stage 3,Measurement,Cancer Modifier
1634835,AJCC/UICC 7th post therapy clinical Stage 3A,Measurement,Cancer Modifier
1634228,AJCC/UICC 7th post therapy clinical Stage 3A1,Measurement,Cancer Modifier
1634156,AJCC/UICC 7th post therapy clinical Stage 3A2,Measurement,Cancer Modifier
1633694,AJCC/UICC 7th post therapy clinical Stage 3B,Measurement,Cancer Modifier
1633654,AJCC/UICC 7th post therapy clinical Stage 3C,Measurement,Cancer Modifier
1633359,AJCC/UICC 7th post therapy clinical Stage 3C1,Measurement,Cancer Modifier
1633827,AJCC/UICC 7th post therapy clinical Stage 3C2,Measurement,Cancer Modifier
1635221,AJCC/UICC 7th post therapy clinical Stage 3D,Measurement,Cancer Modifier
1633414,AJCC/UICC 7th post therapy clinical Stage 4,Measurement,Cancer Modifier
1634926,AJCC/UICC 7th post therapy clinical Stage 4A,Measurement,Cancer Modifier
1633337,AJCC/UICC 7th post therapy clinical Stage 4A1,Measurement,Cancer Modifier
1633333,AJCC/UICC 7th post therapy clinical Stage 4A2,Measurement,Cancer Modifier
1633985,AJCC/UICC 7th post therapy clinical Stage 4B,Measurement,Cancer Modifier
1633638,AJCC/UICC 7th post therapy clinical Stage 4C,Measurement,Cancer Modifier
1635063,AJCC/UICC 7th post therapy pathological Stage 3,Measurement,Cancer Modifier
1634410,AJCC/UICC 7th post therapy pathological Stage 3A,Measurement,Cancer Modifier
1634283,AJCC/UICC 7th post therapy pathological Stage 3A1,Measurement,Cancer Modifier
1634128,AJCC/UICC 7th post therapy pathological Stage 3A2,Measurement,Cancer Modifier
1635425,AJCC/UICC 7th post therapy pathological Stage 3B,Measurement,Cancer Modifier
1634201,AJCC/UICC 7th post therapy pathological Stage 3C,Measurement,Cancer Modifier
1633592,AJCC/UICC 7th post therapy pathological Stage 3C1,Measurement,Cancer Modifier
1634885,AJCC/UICC 7th post therapy pathological Stage 3C2,Measurement,Cancer Modifier
1634644,AJCC/UICC 7th post therapy pathological Stage 3D,Measurement,Cancer Modifier
1635356,AJCC/UICC 7th post therapy pathological Stage 4,Measurement,Cancer Modifier
1633523,AJCC/UICC 7th post therapy pathological Stage 4A,Measurement,Cancer Modifier
1634964,AJCC/UICC 7th post therapy pathological Stage 4A1,Measurement,Cancer Modifier
1635298,AJCC/UICC 7th post therapy pathological Stage 4A2,Measurement,Cancer Modifier
1634831,AJCC/UICC 7th post therapy pathological Stage 4B,Measurement,Cancer Modifier
1634513,AJCC/UICC 7th post therapy pathological Stage 4C,Measurement,Cancer Modifier
1633382,AJCC/UICC 7th Stage 3,Measurement,Cancer Modifier
1634603,AJCC/UICC 7th Stage 3A,Measurement,Cancer Modifier
1635868,AJCC/UICC 7th Stage 3A1,Measurement,Cancer Modifier
1635662,AJCC/UICC 7th Stage 3A2,Measurement,Cancer Modifier
1634911,AJCC/UICC 7th Stage 3B,Measurement,Cancer Modifier
1633957,AJCC/UICC 7th Stage 3C,Measurement,Cancer Modifier
1634543,AJCC/UICC 7th Stage 3C1,Measurement,Cancer Modifier
1635086,AJCC/UICC 7th Stage 3C2,Measurement,Cancer Modifier
1635435,AJCC/UICC 7th Stage 3D,Measurement,Cancer Modifier
1633902,AJCC/UICC 7th Stage 4,Measurement,Cancer Modifier
1635234,AJCC/UICC 7th Stage 4A,Measurement,Cancer Modifier
1633929,AJCC/UICC 7th Stage 4A1,Measurement,Cancer Modifier
1635273,AJCC/UICC 7th Stage 4A2,Measurement,Cancer Modifier
1635337,AJCC/UICC 7th Stage 4B,Measurement,Cancer Modifier
1634250,AJCC/UICC 7th Stage 4C,Measurement,Cancer Modifier
1634596,AJCC/UICC 8th clinical Stage 3,Measurement,Cancer Modifier
1635265,AJCC/UICC 8th clinical Stage 3A,Measurement,Cancer Modifier
1635640,AJCC/UICC 8th clinical Stage 3A1,Measurement,Cancer Modifier
1634461,AJCC/UICC 8th clinical Stage 3A2,Measurement,Cancer Modifier
1634006,AJCC/UICC 8th clinical Stage 3B,Measurement,Cancer Modifier
1634811,AJCC/UICC 8th clinical Stage 3C,Measurement,Cancer Modifier
1635859,AJCC/UICC 8th clinical Stage 3C1,Measurement,Cancer Modifier
1635395,AJCC/UICC 8th clinical Stage 3C2,Measurement,Cancer Modifier
1635533,AJCC/UICC 8th clinical Stage 3D,Measurement,Cancer Modifier
1635029,AJCC/UICC 8th clinical Stage 4,Measurement,Cancer Modifier
1634810,AJCC/UICC 8th clinical Stage 4A,Measurement,Cancer Modifier
1634285,AJCC/UICC 8th clinical Stage 4A1,Measurement,Cancer Modifier
1633370,AJCC/UICC 8th clinical Stage 4A2,Measurement,Cancer Modifier
1635708,AJCC/UICC 8th clinical Stage 4B,Measurement,Cancer Modifier
1635006,AJCC/UICC 8th clinical Stage 4C,Measurement,Cancer Modifier
1634705,AJCC/UICC 8th pathological Stage 3,Measurement,Cancer Modifier
1633636,AJCC/UICC 8th pathological Stage 3A,Measurement,Cancer Modifier
1635408,AJCC/UICC 8th pathological Stage 3A1,Measurement,Cancer Modifier
1633571,AJCC/UICC 8th pathological Stage 3A2,Measurement,Cancer Modifier
1634612,AJCC/UICC 8th pathological Stage 3B,Measurement,Cancer Modifier
1633736,AJCC/UICC 8th pathological Stage 3C,Measurement,Cancer Modifier
1633393,AJCC/UICC 8th pathological Stage 3C1,Measurement,Cancer Modifier
1635045,AJCC/UICC 8th pathological Stage 3C2,Measurement,Cancer Modifier
1634759,AJCC/UICC 8th pathological Stage 3D,Measurement,Cancer Modifier
1633697,AJCC/UICC 8th pathological Stage 4,Measurement,Cancer Modifier
1634005,AJCC/UICC 8th pathological Stage 4A,Measurement,Cancer Modifier
